Filename,WT,FSS,HH
Straightened/test-s.png,0.0253,0.0267,0.948
Straightened/test1-s.png,0.0002,0.9922,0.0076
Straightened/test10-s.png,0.9935,0.0004,0.006
Straightened/test11-s.png,0.0366,0.015,0.9484
Straightened/test12-s.png,0.0138,0.0284,0.9578
Straightened/test13-s.png,0.0002,0.9975,0.0023
Straightened/test14-s.png,0.9955,0.0003,0.0042
Straightened/test15-s.png,0.8508,0.0107,0.1385
Straightened/test16-s.png,0.0012,0.9585,0.0403
Straightened/test17-s.png,0.9749,0.0031,0.022
Straightened/test18-s.png,0.024,0.0238,0.9523
Straightened/test19-s.png,0.0002,0.9957,0.0041
Straightened/test2-s.png,0.9804,0.0016,0.0181
Straightened/test20-s.png,0.9783,0.0013,0.0204
Straightened/test21-s.png,0.0153,0.0178,0.9669
Straightened/test22-s.png,0.9879,0.0009,0.0113
Straightened/test23-s.png,0.0022,0.0178,0.9799
Straightened/test24-s.png,0.0011,0.9672,0.0318
Straightened/test25-s.png,0.0003,0.9954,0.0043
Straightened/test26-s.png,0.9839,0.0015,0.0146
Straightened/test27-s.png,0.9723,0.0023,0.0253
Straightened/test28-s.png,0.9717,0.0013,0.027
Straightened/test29-s.png,0.9737,0.0013,0.0249
Straightened/test3-s.png,0.01,0.2144,0.7756
Straightened/test30-s.png,0.0077,0.0341,0.9582
Straightened/test31-s.png,0.9758,0.0015,0.0227
Straightened/test32-s.png,0.0135,0.0383,0.9483
Straightened/test33-s.png,0.0592,0.012,0.9289
Straightened/test34-s.png,0.0005,0.9972,0.0024
Straightened/test35-s.png,0.0072,0.0694,0.9233
Straightened/test36-s.png,0.9609,0.0034,0.0357
Straightened/test37-s.png,0.0041,0.0096,0.9863
Straightened/test38-s.png,0.0002,0.9934,0.0064
Straightened/test39-s.png,0.0071,0.0778,0.915
Straightened/test4-s.png,0.012,0.009,0.979
Straightened/test40-s.png,0.0094,0.0538,0.9369
Straightened/test41-s.png,0.0007,0.9924,0.0069
Straightened/test42-s.png,0.0126,0.0061,0.9813
Straightened/test43-s.png,0.974,0.0018,0.0242
Straightened/test44-s.png,0.8815,0.0038,0.1148
Straightened/test45-s.png,0.9449,0.0021,0.053
Straightened/test46-s.png,0.0004,0.9884,0.0112
Straightened/test47-s.png,0.9925,0.0008,0.0067
Straightened/test48-s.png,0.0086,0.0088,0.9825
Straightened/test49-s.png,0.99,0.0007,0.0093
Straightened/test5-s.png,0.9959,0.0003,0.0038
Straightened/test50-s.png,0.0002,0.9968,0.003
Straightened/test6-s.png,0.9816,0.0012,0.0171
Straightened/test7-s.png,0.0043,0.0228,0.9729
Straightened/test8-s.png,0.014,0.226,0.76
Straightened/test9-s.png,0.0002,0.997,0.0028
